name,avg_pr,lat,lon
	 Samoo Baba Tacos Kebab & Grill,10.0,51.20183763,2.858479794
 Delifranco,11.99,50.91769742,5.306240502
ANATOLIA hoboken,7.5,51.16857592,4.350791716
Ada Eethuis,8.0,50.85125464,4.673954518
Ada Pizza,8.0,50.85925787,4.672616145
Adana Kebab BBQ,10.285714285714286,51.01108238,4.469541826
Afghan Restaurant Mahya,6.5,51.19908499,4.396004201
Aleppo food,12.0,50.91769742,5.306240502
Ali Baba,8.875,50.85925787,4.672616145
Ali Baba Stalenstraat,12.333333333333334,50.9638924,5.482451045
Ali Baba Vennestraat,11.333333333333334,50.94824105,5.482451045
Ali Kebab ,7.0,51.02959274,3.692138247
Andromeda,10.200000000000001,51.02302294,3.698152652
Antwerp Kebab,8.333333333333334,51.19273603,4.393356421
Arabesque ,9.208333333333334,51.19471969,4.431036819
Arif Usta,7.666666666666667,51.04778486,3.692138247
Barbercue Duhok,10.0,51.03924306,3.692138247
Bawabet Demashq,8.5,51.20580481,4.396004201
Belfort Fast Food,8.0,51.18836341,3.180175321
Bogaz Kebab,8.916666666666666,50.9332037,3.108444364
Bosphorus Snack,12.142857142857142,50.83182209,4.471482377
Botanique,11.5,50.91769742,5.326175703
Broodjeszaak PAINDOR,9.0,50.91769742,5.326175703
Brugge Kebab,9.883333333333333,51.18836341,3.194051901
CaCo,11.9,50.80434338,3.227251923
Chez Hakan,10.471428571428572,50.87403071,4.276479858
Couleur Safran,10.225,50.78691463,4.316574486
Dailyslice,12.25,51.19499148,3.207997139
Damasco Leuven,10.0,50.85925787,4.672616145
Damasveneto,8.99,51.19908499,4.396004201
De Nijl | Leuven,6.25,50.85925787,4.672616145
Dejeuner Delice,8.0,51.19471969,4.431036819
Doy Doys,11.622222222222222,51.17778398,4.420993727
EL BARAKA antwerp,9.75,51.18668616,4.397969838
Eala Kayfik,15.99,51.18712064,4.379620139
El assyl,11.5,50.91769742,5.326175703
Emir Baba Köfte & Kebab,13.666666666666666,51.1771979,4.393356421
FRITUUR OVERPOORT,8.0,51.02302294,3.698152652
Fratello KORTRIJK,8.0,50.81198382,3.262213428
Friterie Ylli,7.625,50.90635317,4.355623167
Frituur Bossuwé Pottelberg,12.833333333333334,50.80434338,3.227251923
Frituur Conny & Franky,14.899999999999999,51.14943081,4.115715821
Frituur De Gitschotel,8.25,51.1951121,4.42228923
Frituur Nationale,9.100000000000001,51.18712064,4.379620139
Frituur Pita de Brug,10.666666666666666,51.02302294,3.698152652
Frituur het kroontje,7.642857142857143,51.20983038,4.421159483
Ghoshto Eethuis,8.0,51.1771979,4.410125593
Golden Spice,14.25,51.17778398,4.409604975
Grand Basha,9.0,51.19731546,3.194051901
Grill Leuven,7.333333333333333,50.85925787,4.672616145
Grill&service,10.0,50.86051822,4.672616145
Het Hoekske,7.5,50.85925787,4.672616145
Hot Pizza,7.5,51.02302294,3.692138247
Iran Chicken Grill ,11.0,51.18836341,3.180175321
Istanbul leuven,7.375,50.85925787,4.672616145
Jerusalem Pita-Shoarma-Pizzeria,10.666666666666666,50.94824105,5.482451045
Kap Saloon,4.965217391304347,50.87403071,4.276479858
Kapsalon ,7.2272727272727275,51.18668616,4.393356421
Karine Dendermonde,12.0,51.01895856,4.054558439
Karine Grembergen,12.0,51.05413647,4.106767248
Kebab Leuven,9.25,50.85925787,4.672616145
Kebab Vrijdag,6.0,51.034317,3.692138247
Kebab love ,7.666666666666667,51.02959274,3.698152652
Kebab@home,12.25,50.92046057,4.016531514
King Kebab,9.5,51.18836341,3.194051901
King kebab,10.0,51.18836341,3.194051901
Kokorecci Antwerpen,8.0,51.17930938,4.367757718
Kubaba,11.166666666666666,51.02302294,3.692138247
Kulba Kabul ( Afghan restaurant),8.0,51.03924306,3.692138247
La Dany,9.857142857142858,51.17485842,4.379620139
Lezziz,7.9,50.80434338,3.227251923
MY PIZZA (KOR),10.0,50.80434338,3.227251923
Mam's burger,9.75,50.90635317,4.355623167
Masala Express,9.0,50.80434338,3.249590561
Master Kebab,9.4,51.18836341,3.180175321
Max snacks,7.0,50.92054171,3.108444364
Memo's,8.5,50.73989092,4.394235194
Mixor Kebab,10.95,51.19707989,4.393356421
Muradim,6.6875,51.18668616,4.379620139
Only Kebab,9.15,51.19273603,4.393356421
PITAWAN,15.9,51.01108238,4.449598129
Pita Cleopatra,11.200000000000001,51.15680387,4.412618321
Pita Efes,9.5,51.17962222,3.180175321
Pita Efes 2,12.0,51.17962222,3.180175321
Pita Huis Blauwwater,9.5,51.17485842,4.379620139
Pita Piramide Aalst,12.0,50.92046057,4.016531514
Pita Ster Antwerpen,10.600000000000001,51.18668616,4.379620139
Pita Xander ,9.333333333333334,51.17962222,3.180175321
Pitta ,8.95,50.80434338,3.227251923
Pitta Can ,11.0,51.04243255,3.710605171
Pitta Cengoo,6.125,51.03190078,3.710605171
Pitta Corner Oostende,10.0,51.20183763,2.883544333
Pitta House,9.45,50.80434338,3.227251923
Pitta Moorselbaan,7.25,50.92046057,4.016531514
Pitta Roos,11.5,51.18836341,3.180175321
Pitta Sena ,14.666666666666666,51.02302294,3.698152652
Pitta efes Assebroek,10.0,51.18789903,3.212001973
Pitta-Snack Magic,8.125,51.02302294,3.698152652
Pizza Mia Ghent,7.75,51.04418233,3.692138247
Pizza Posto,7.0,50.85925787,4.672616145
Pizza Roma ,10.071428571428571,51.01862123,4.44381241
Pizza Sole Mio,8.9,50.85925787,4.672616145
Pizzaria Mr. Sebino,10.625,51.20119834,3.194051901
Pizzeria Amore,4.5,50.80434338,3.227251923
Q'bap Gent,11.9,51.02959274,3.698152652
ROYAL PIZZA (Kortrijk 2022),9.666666666666666,50.81586558,3.227251923
Saba snack,11.0,51.17962222,3.180175321
Sabito's Pizza,8.0,51.18668616,4.393356421
Samet snack grill,8.5,50.87331223,4.430146007
Sesam,14.0,50.80434338,3.227251923
Sfinx Turnhout,9.0,51.30567547,4.932008898
Shaam,8.0,50.91769742,5.306240502
Shoarma Baghdad,7.5,51.19273603,4.379620139
Snack Aalst,8.0,50.92046057,4.016531514
Snack Ayouni,8.625,51.20501,4.421159483
Snack Canlar,9.0,50.91259376,4.399235648
Snack Délice Halal,10.0,50.78691463,4.316574486
Snack Gürso,7.25,50.87331223,4.430146007
Snack Halte,9.125,51.02302294,3.698152652
Snack Marhaba,12.0,50.91769742,5.306240502
Snack Nakhil,8.675,51.19471969,4.396004201
Snack ozzy,7.5,51.02302294,3.706429483
Snackbar 109,8.166666666666666,51.17930938,4.379620139
Solav Kebab,6.45,51.19273603,4.393356421
Solav kabab,8.125,51.19273603,4.393356421
Star Kebab,7.428571428571429,51.30567547,4.932008898
Steakhouse pizzaria Amsterdam,6.805789473684211,51.16857592,4.350791716
Sultan kebab ,9.285714285714286,51.01108238,4.449598129
TCHITCHI KEBAB PIZZERIA,7.46875,51.19399575,4.393356421
Tasty World Hoogpoort,4.45,51.02302294,3.692138247
That's Kebap,7.46,51.02959274,3.692138247
The Ribhouse Gent,15.0,51.02302294,3.698152652
Tito,9.617647058823529,51.19399575,4.393356421
Uniq Kebab,8.875,51.02302294,3.698152652
Uniq Kebab Gent,11.45,51.02302294,3.698152652
Yamal Alsham ,5.0,51.18712064,4.379620139
Z'appétit,5.833333333333333,50.87403071,4.276479858
eetcafé panorama,8.5625,51.17970814,4.401294395
grillmixcentrum,9.7,51.02959274,3.698152652
kebab Leuven Diestsestraat,8.5,50.85925787,4.672616145
pita pizza waterpoort,10.0,51.18668616,4.379620139
samo bakkerij,7.65,51.18829291,4.409604975
t Stad Kebab,9.8125,51.18668616,4.379620139
yalcin snacks,8.75,50.92054171,3.108444364
ÖZ AHI,5.5,51.16857592,4.350791716
